中文,说明
甜甜蜜,香甜的蜜。在住處使用後，住在那裡的寶可夢就會回來。
结实的树枝,從某處的樹掉落的樹枝，適合製作玩具或日常用品。
石头,隨處可見的普通石頭，能成為各種東西的材料。
叶子,綠油油、水嫩嫩的葉子，砍樹或割草後就能獲得。
小圆木,雖然加工之後會成為木材，但也可以直接當材料使用。
藤蔓绳,將長在高處或洞窟等處的植物蔓藤切斷就會獲得。
发光蘑菇,在暗處也會淡淡發光的蘑菇，雖然不能食用，但好像可以用來當照明。
线团,破壞布材質的垃圾就能獲得，蟲屬性寶可夢有時也會製作。
海玻璃碎片,受到海浪上沖下洗後變圓的玻璃，可以作為玻璃製品的材料。
贝壳,掉落在沙灘上的普通貝殼，也可以作為蓋房子的材料。
不可燃垃圾,隨地散落的垃圾，似乎有一些寶可夢很喜歡。
软塌塌黏土,質地柔軟，能當作各種東西的材料，還能將它燒制定型，製成磚塊。
棉花,軟綿綿的觸感，欲罷不能，有時也有寶可夢會“亂撒”它。
废纸,可以直接用於加工。回收利用，將它做成紙吧。
铜,含有銅的原石。做成銅條後，會成為各種物品的材料。
铁,能從鐵礦石提取的金屬。有時會混在金屬垃圾中。
金子,能從金礦石提取的金屬。閃閃發亮，有種奢華的氛圍。
宝可金属碎片,能從寶可金屬礦石提取的金屬。色彩繽紛，閃閃發亮。
稀有宝可金属碎片,偶爾能從寶可金屬礦石取得。相當稀有，如果能獲得就太幸運了。
水晶碎片,水晶的碎塊。因為是透明的，可以看到另一側。
木材,裁切小圓木而成，方便使用的木料。正適合拿來當木製品的材料。
砖块,正適合原來蓋房子或鋪路的磚塊。其實是用黏土燒製而成的。
铜条,將銅放進熔礦爐即可獲得。看起來有點像是巧克力。
铁条,將鐵放進熔礦爐即可獲得。非常堅硬，沉甸甸的。
金条,將金子放進熔礦爐即可獲得。光是擁有它，心情就會覺得很奢華。
宝可金属,將寶可金屬碎片放進熔礦爐加工即可獲得。會成為各種物品的材料。
稀有宝可金属,將稀有寶可金屬碎片放進熔礦爐加工即可獲得。會成為貴重物品的材料。
玻璃,可以用熔礦爐融化沙子或砂岩來製作。也可以透過破壞破損的玻璃窗獲得。
混凝土,由黏呼呼的液體凝固而成。硬邦邦的，相當堅固。
纸,毫無污穢的乾淨白紙。是“回收利用”廢紙的產物。
巨锻齿轮,經過巨鍛匠加工的酷炫齒輪。其中滿載工匠的執著。
神奇琴弦,一彈就會響起酷炫音色的弦。可以用於製作吉他或貝斯。
铠甲碎片,碎的七零八落的鎧甲。收集起來就能製成充滿感情的鎧甲。
星星沙子,加工後會變成星星碎片的沙子。可以在夢島獲得。
颜料（红）,碾壓樹果製成的顔料。是「彩繪」時的必需品。
颜料（蓝）,碾壓樹果製成的顔料。是「彩繪」時的必需品。
颜料（绿）,碾壓樹果製成的顔料。是「彩繪」時的必需品。
颜料（黄）,碾壓樹果製成的顔料。是「彩繪」時的必需品。
颜料（粉桃）,碾壓樹果製成的顔料。是「彩繪」時的必需品。
颜料（浅蓝）,碾壓樹果製成的顔料。是「彩繪」時的必需品。
颜料（白）,碾壓樹果製成的顔料。是「彩繪」時的必需品。
颜料（黑）,碾壓樹果製成的顔料。是「彩繪」時的必需品。
棉絮,小巧純白的棉絮，拿去給毽子草吧。
紅色水晶的碎片,紅色水晶的碎片，拿去給勾魂眼吧。
