中文,说明
百变怪的旗子,百變怪房子的標誌。插在想住的房子上吧。
工作台,收集大量的材料。試著製作各式各樣的東西吧。
大家的盒子,供寶可夢們把撿到的東西放進去。或挑出要加工的物品的盒子。
装饰框,用來將物品装飾在牆上的框。試著用它裝飾各種東西吧。
砧板,用來做沙拉的廚具。放上材料，開始下廚吧。
平底锅,用來做漢堡排的廚具。放在火堆或爐子上吧。
时髦的平底锅,用來做漢堡排的廚具。放在火堆或爐子上吧。
锅子,用來煮湯的廚具。放在火堆或爐子上吧。
时髦锅,用來煮湯的廚具。放在火堆或爐子上吧。
面包窑,用來做包的廚具。拜託寶可夢來點火吧。
熔炉,能加工金屬等物品的爐。拜託專長是「點火」的寶可夢來幫忙吧。
金属熔炉,金屬製的高性能熔礦爐。可以迅速加工金屬等物品。
混凝土搅拌机,能將水和石灰石做成水泥。請專長是「輾壓」的寶可夢來幫忙吧。
铁轨,鋪設鐵軌，建造出一條路吧。只要坐上採礦車，就能一口氣抵達另一端。
道闸,黃黑相間的條紋很有特色。可作為上下礦車時的指引。
采矿车,在鐵軌上叩隆叩隆地奔馳吧。排一排，就能連結起來行駛。
电梯搭乘处,用梯子上下連結2個電梯搭乘處。電梯就會運作了。
缆车搭乘处,隔著一點距離擺放2個。就能完成會自動行駛的纜車了。
收银机,保持通電的狀態擺放在桌子上。就會有寶可夢前來進行「交易」。
洒水器,可以噴灑出水，滋潤大範圍的機器。試著放在水邊吧。
迷你水门,透過旋轉上面的把手。來放水或擋水吧。
电线杆,連上發電機使用吧。只要連上電線桿，就能把電輸送到遠方。
切换式无限输电箱,連上發電機使用吧。只要在附近設置開關就能控制。
无限输电箱,連上發電機使用吧。能像電線桿一樣把電輸送到遠方。
迷你发电机,只要放在喜歡的地方。就會自動發電的優良用品。
贴地开关,安裝在地面的開關。踩上去之後，四周的東西就會流暢運作。
贴墻开关,很適合家中牆壁的開關。按下去之後，四周的東西就會流暢運作。
读卡机,用來驗證卡片或圖鑑的機器。裝在牆壁上吧。
感应器,只要偵測到有什麼動靜。它四周的東西就會流暢運作。
守护摄像头,可以看到周圍情況的攝影機。試著擺放在想要觀察的地方吧。
蘑菇路灯,有了蘑菇的淡淡微光。就算是周圍一片漆黑也不怕。
城镇路灯,通電後就會亮起柔和光芒。照亮四周。
港口路灯,散發著港鎮風情的路燈。救生圈的裝置藝術是其中的亮點。
雅致路灯,打開電源後就會發出柔和的光。把周圍淡淡地照亮。
双臂路灯,通電後，兩盞燈就會閃閃發光。明亮地照亮四周。
蘑菇台灯,蘑菇的柔和光芒。會一直照亮著周圍。
自然风台灯,通電後就會亮起溫暖光芒。照亮四周。
桌灯,設計簡約的燈具。擺放在桌上，似乎可以專心做事。
精灵球灯,通電後就會亮起紅色、白色光芒的霓虹燈。放在桌子上似乎也不錯。
树果桌灯,用玻璃打造的莓莓果。打開電源後，水藍色的光就會照亮四周。
可爱的灯,當作擺飾也很可愛的燈。打開電源後，中央的愛心就會亮起來。
精灵球台灯,通電後就會發出耀眼的光芒。放在台子上似乎也不錯。
星球模型,位在遙遠宇宙的未知行星的模型。像顆糖果，看起來很好吃。
流星台灯（红）,通電後就會像流星般阴發光。讓四周瞬間轉為神秘氛圍。
流星台灯（橙）,通電後就會像流星般阴發光。讓四周瞬間轉為神秘氛圍。
流星台灯（黄）,通電後就會像流星般阴發光。讓四周瞬間轉為神秘氛圍。
流星台灯（绿）,通電後就會像流星般阴發光。讓四周瞬間轉為神秘氛圍。
流星台灯（浅蓝）,通電後就會像流星般阴發光。讓四周瞬間轉為神秘氛圍。
流星台灯（蓝）,通電後就會像流星般阴發光。讓四周瞬間轉為神秘氛圍。
流星台灯（紫）,通電後就會像流星般阴發光。讓四周瞬間轉為神秘氛圍。
豪华立灯,通電後就會亮起朦朧光芒。照亮四周。
庭园灯,適合擺放在庭院的燈具。在夜晚也會將花朵照得很美。
提灯,通電後就會發出耀眼的光芒。只要有它，在昏暗的洞窟也能放心。
橡实果壁灯,掛在牆上的樣子。就像是懸掛在樹枝上的橡實果。
镜面球,打開電源後就會散發燦爛光彩。讓周圍一帶瞬間化為派對會場。
壁灯,裝在牆上的燈。通電後。就會以溫暖的光芒照亮四周。
贝壳壁灯,乍看只是普通的貝殼。但掛在牆上通電後，就會發出柔和的光。
荧光灯,通電後就會發出耀眼的光。即使在夜晚，也會像白天一樣明亮。
电竞灯,掛在牆上，打開電源。就會閃爍七彩光芒。
