编号,,说明,详情,宝可梦,图片URL
1,绿色的草丛,4块紧挨的绿色草组成的草丛。正适合小型宝可梦藏身。,绿色草 × 4,妙蛙种子、小火龙、喷火龙、杰尼龟、走路草、小拳石,https://img.game8.co/4423971/dee0b00910ddee74eb7f5f9f510f4cd6.png/show
2,树荫的草丛,树荫下的草丛，白天也很凉爽。宝可梦说不定会过来休息片刻。,"大树（任意） × 1
绿色草 × 4",喇叭芽、飞天螳螂、巨钳螳螂、凯罗斯、赫拉克罗斯、贪心栗鼠,https://img.game8.co/4423956/e63a2a1800ceb7c833c468c11131104e.png/show
3,岩影的草丛,巨大岩石阴影里的草丛。非常适合捉迷藏。,"绿色草 × 4
大石头 × 1",搬运小匠、铁骨土人、腕力,https://img.game8.co/4423970/3424780ef75b20a293a96327eb98730e.png/show
4,湿润的草丛,生长在水边的小草丛。总是水灵灵的，生机勃勃。,"绿色草 × 4
水 × 2",杰尼龟、卡咪龟、水箭龟、黏美儿、古月鸟,https://img.game8.co/4431647/8482ea23489e50475a687ad424bbd1eb.png/show
5,海浪边的草丛,在含有盐分的水边也能预强生长的草丛。能缓解海边的炎热。,"绿色草 × 4
海水 × 2",呆呆兽、呆壳兽、呆呆王,https://img.game8.co/4431648/1fd6876bd66068d0b0dd614477027150.png/show
6,高岗的草丛,生长在高处，环境十分凉爽。一阵阵风直吹进草丛深处。,"绿色草 × 4
高处 × 1",波波、比比鸟、咕咕、猫头夜鹰,https://img.game8.co/4433193/da9a7e810387fd50c14d1e755a5405ff.png/show
7,光照的草丛,微光照射下的草丛。柔和的光线会引来宝可梦。,"草（任意） × 4
照明（任意） × 1",毛球、摩鲁蛾,https://img.game8.co/4431649/f95f3157d3df68f05acdad6d7d84e491.png/show
8,美丽的花田,缘草地的花组成的美丽花田。弥漫着一股淡淡的甜香。,草地的花 × 4,波波、比比鸟、咕咕、三蜜蜂、鸭嘴宝宝、伊布,https://img.game8.co/4423958/ff1d96f0883af3346cfd7389c065c241.png/show
9,树荫的花田,在树荫下依然美丽绽放的花朵。湿润的芬芳会引来宝可梦。,"树果树（任意） × 1
草地的花 × 4",梦歌仙人掌、黏黏宝、锹农炮虫,https://img.game8.co/4431652/ff356a08c435f6dc19e71db341ad662f.png/show
10,湿润的花田,水边盛开的花田。清澈的水流和花香似乎会引来宝可梦。,"草地的花 × 4
水 × 2",电萤虫、甜甜萤,https://img.game8.co/4431653/86a344012795aee579f55f42a8093c77.png/show
11,整片的花海,广阔的花田。馥郁的芬芳弥漫四周。,草地的花 × 8,妙蛙草、妙蛙花、蜂女王,https://img.game8.co/4431654/c000cd9770fba5c7edda44d93d351d9d.png/show
12,高岗的花田,在高处盛开的繁花。甜美的花香随风飘散。,"草地的花 × 4
高处 × 1",派拉斯、派拉斯特,https://img.game8.co/4433138/1e93316ffc65a195502dd5e3e8d2677f.png/show
13,花朵围绕的墓地,柔和而华美的氛围，睡在墓中的宝可梦也会开心吧。,"草地的花 × 4
墓碑 × 1",卡拉卡拉、嘎啦嘎啦,https://img.game8.co/4433188/aa5f2a01563b4d03f03342f4bab7ded6.png/show
14,庭园,为繁花盛开的花日加上花篱，一下就成了一个小庭园。,"花篱（任意） × 4
草地的花 × 4",派拉斯、派拉斯特,https://img.game8.co/4433125/cf211339489f21158d0661336ded3d35.png/show
15,新鲜蔬菜田,广阔的田里种植着蔬菜。喜欢农活的宝可梦可能会前来。,菜田（任意） × 8,螺钉地鼠、龙头地鼠、木木枭,https://img.game8.co/4423954/5599935e337e36c684615fc890af74d0.png/show
16,乘着暖风,3个火维加热后的空气悠然飘向高空。,火堆 × 3,飘飘球,https://img.game8.co/4431657/ef715a5359e7b53f0390fb306ae2e9f3.png/show
17,露营组合,融入自然的露营组合。宝可梦们也会在火堆前取暖。,"火堆 × 1
干草桌子 × 1
干草凳子 × 1",火恐龙,https://img.game8.co/4431660/3a3de83c4fb66b8fba0f4b16f8365a7c.png/show
18,修行瀑布,瀑布的冲打会让身心振奋。喜欧锻炼的宝可梦可能会来。,"椅子（任意） × 1
水 × 2
瀑布 × 1",无畏小子,https://img.game8.co/4433229/3094ae25af2ab5742c6b9a42f27ac03f.png/show
19,饿肚肚用餐处,椅子和桌子，再摆上一个盘子。肚子饿的宝可梦说不定会过来。,"椅子（任意） × 1
桌子（任意） × 1
装盘的食物 × 1",溶食兽,https://img.game8.co/4431684/6c10faa301953ccd4cfb878fd1c6c162.png/show
20,野餐氛围桌,在桌上放个野餐篮，感觉就像在野餐样。,"椅子（任意） × 2
桌子（任意） × 1
野餐篮 × 1",皮丘、皮卡丘,https://img.game8.co/4434462/e444551ffc52be412b9b264bf461bc2c.png/show
21,华丽的桌子,桌上摆着花瓶。宝可梦或许也会坐在椅子上赏花。,"椅子（任意） × 1
桌子（任意） × 1
单枝花瓶 × 1",口呆花、大食花,https://img.game8.co/4431685/f1019185953c86d82c2b1326c5ac4ea4.png/show
22,绿色的长椅,花篱旁的长椅。宝可梦也能感受着自然稍作歇息。,"花篱（任意） × 2
椅子（长） × 1",妙蛙种子、妙蛙草、巨蔓藤,https://img.game8.co/4432135/e913eec1acaf7b46beb3df19bf7dcf8f.png/show
23,光照的长椅,柔和灯光下的椅子。宝可梦说不定会被光亮吸引过来。,"椅子（长） × 1
路灯（任意） × 1",毛球、摩鲁蛾,https://img.game8.co/4431686/4b2d71ebf675d591c35459000195c35f.png/show
24,健身区休息处,在激烈的训练后，宝可梦们也会坐在椅子上休息。,"沙袋 × 1
椅子（任意） × 1",快拳郎,https://img.game8.co/4423959/bb0e7801e0457586c7128e33f894bd23.png/show
