物品,说明
"收纳箱
しゅうのうボックス
Storage box",方便的箱子，可以收納持有物。以木頭製成，容易拿取或放入物品。
"壁挂收纳箱
カベしゅうのうボックス
Wall storage box",尺寸雖小，卻能收納許多東西。掛在牆上使用吧。
"大收纳箱
ビッグしゅうのうボックス
Big storage box",尺寸大約是收納箱的3倍大。可以大量收納持有物。
"自然风储物柜
ナチュラルなチェスト
Plain chest",設計簡約的櫃子。可以收納持有物。
"办公室收纳柜
オフィスのキャビネット
Office cabinet","尺寸小巧，但里面空間相管當大。打開拉門,把持有物放進去吧。"
"电竞冰箱
ゲーミングれいぞうこ
Gaming fridge",有點冰凉的櫃子。冰屬性的寶可夢應該會喜。
"精灵球储物柜
モンスターボールチェスト
Poké Ball Chest",看起來像巨大的精靈球，但可以打開來收納東西。
"树果造型盒
きのみなケース
Berry case","乍看之下是带有晶亮光澤的樱子果。可以整個打開來,把東西放進去。"
"古董储物柜
アンティークチェスト
Antique chest",4隻彎曲的腳很可愛。
"自然风衣柜
ナチュラルなクローゼット
Plain closet",打開簾子，把持有物收進去吧。百變怪應該是不需要面的衣架。
"办公室储物柜
オフィスのロッカー
Office locker",連衣服都放得下的大型置物櫃。把各種東西都收納進去吧。
"古董衣柜
アンティーククローゼット
Antique closet",又穩又重的大衣櫥。把各種東西都收進去吧。
"办公室架子
オフィスのたな
Office shelf",塞著滿满的文件，看起來是無法再放東西進去了。
"棱棱角角柜
かくばりたな
Polygonal Shelf",很有品味的櫃子，眼光會不自覺被吸過去。雖然感覺很難使用，但還是可以放東西進去。
"干草桌子
ほしくさのテーブル
Straw table",雖然美其名是桌子，其實只是把大石板放在乾草上而已。
"圆木桌
まるたのテーブル
Log table",即使只是裁切圆木之後打磨，也會變成一張有模有様的桌子。
"边桌
サイドテーブル
Side table",帶來凉爽印象的邊桌。擺放在夏日躺椅旁似乎也不錯。
"庭园桌子
ガーデンテーブル
Garden table",時尚的桌子。和庭園椅子成套擺放，感覺很不错。
"木桌子
木のテーブル
Wooden table",只用木材就能做好。尺寸雖小卻是很棒的桌。
"柜台面
カウンターのだい
Counter",連結得越多，就變得越長的櫃台。在中間做個轉角感覺也不錯。
"壁桌
カベつけテーブル
Wall-mounted table",連牆角也能緊密貼合的好東西。一字排開，擺得像吧。台一樣也不錯。
"宝可梦中心的柜台
ポケセンのカウンター
Pokémon Center counter",排一排，就會變成寶可夢中心的櫃台。設計簡約，有清潔感。
"厨房桌子
キッチンテーブル
Kitchen table",髒污難以附著的光滑桌子。和水槽或爐子擺在一起感覺也很不錯。
"推车
ワゴン
Push cart",和桌子一様高的推車。試著在上面擺放食物等東西吧。
"展示台
てんじだい
Exhibition stand",大小可以透過連結自由改燮。試著在上面擺放各種東西吧。
"谜之台座
なぞのだいざ
Mysterious pedestal",原本似乎有什麽東西在上面……
"自然风矮柜
ナチュラルなだい
Plain stand",設計簡約的矮桌。剛好適合拿来放東西。
"铁矮柜
てつのだい
Iron stand",製的堅硬台座。即使在上面放置重物也没問題。
"供餐柜台
フードカウンター
Food counter",適合在派對等場合擺放料理的櫃台。
"自然风桌子
ナチュラルなテーブル
Plain table",設計簡約，適合擺放在任何地方的桌子。試著放上各式各様的東西。吧。
"古董桌子
アンティークテーブル
Antique table",圆鼓鼓的桌腳很可愛。排一排，就會連結成一張大桌子。
"工业风桌子
インダストリアルなデスク
Industrial desk",有美麗木紋的書桌。放在户外感覺也不錯。
"铁桌子
てつのテーブル
Iron table",鐵製的桌子，設計簡約。和酷炫的房間應該會很搭。
