中文,说明
火堆,收集樹枝搭建的火堆。只要點燃火焰，就會溫暖地照亮四周。
火炬,只要點燃火焰。就會緩緩地持續燃燒，照亮四周。
细长蜡烛,點燃後，鮮紅的火焰搖曳晃動。因為體積小，感覺也能放在桌上。
诡异的蜡烛,點燃後會有藍色火焰「呼……」地亮起。因為體積小，似乎也可以放在桌子上。
壁挂火炬,樸素的燈火，搭配洞窟等地的。凸隆隆的岩石也很相稱。
篝火,點火之後就會轟地燃起。照亮四周。
营火,點燃正中央的木材。就會溫暖地照亮廣大範圍。
沙池,擺放後就可以玩沙子。試試看能用沙子堆出什麼吧。
跳轮胎,在公園等地方會有的遊樂器材。擺在地面上之後。就跳過它玩玩吧。
水泥管,連結得越多，就變得越長。就算窺看裡面，也是一片漆黑。
沙袋,裡面塞著滿滿的沙子，非常沉重。正適合用來練習拳擊或踢腿。
滑梯,公園不可或缺的遊樂器材。非常龐大，存在感尤其強烈。
自动售货机,通電就會啪地亮起。裡面好像還有商品。
壁挂花,花盆裡種著色彩繽紛的花朵。裝飾在牆壁上，打造出華麗的空間吧。
吉利蛋植栽,就像是隻吉利蛋的樹。看著看著，心情似乎就會變柔和。
庭园摆饰,好像一家鼠在圓木上。和樂融融的樣子。
自行车,看起來很高檔的折疊自行車。像新的一樣閃閃發亮。
种植槽,種下花朵或蔬菜的種子。培育到種子開花結果吧。
庭园盆花,在時尚的植栽盆裡盛開著可愛的花朵。放在桌上當裝飾，感覺也很不錯。
平板货车,車斗很寛，即使是大一點的東西。感覺也放得上去。
木质栖杠,用來讓鳥寶可夢等停棲的木頭。只要放著說不定就會有誰來休息。
木巢箱,裡面裝了蓬松乾草的巢箱。看來鳥寶可夢可以過得很舒服。
信箱,用來放入送達的信的箱子。擺放在房屋前感覺很不錯。
风向标,在風的吹拂下來回轉動的裝飾品。看起來像鳥寶可夢停在柱子上。
墓碑,靈魂安息的地方。幽靈屬性的實可夢應該會很開心。
画布（崭新）,純白的畫布。專長是畫畫的寶可夢。可能會幫忙畫點東西。
画布（风景画）,圖圖犬老師渾身解數繪出的作品。森林與山的對比十分美麗。
画布（肖像画）,圖圖犬老師渾身解數繪出的作品。就連軟趴趴的感覺也都完美重現了。
画布（静物画）,圖圖犬老師渾身解數繪出的作品。每個看起來都像是真的。
发射筒,把煙火彈或專長是「爆炸」的寶可夢。放進裡面後，點火看看吧。
钟,裝設在牆上的金鐘。對它使出拳擊，就會響起悅耳的聲音。
舞台,站上去跳支舞吧！通電後，還會亮起燈光。
出水口,放在暖呼呼的熱水附近。就會營造出溫泉般的氛圍。
水盆,在盆子裡儲水。讓寶可夢們能幫忙澆水吧。
独木舟,划槳、繩索、水桶等。多種航海所需的東西都在上面。
充气船,無論是把它當作床躺在上面。還是讓它漂在水上，感覺都不錯。
沙滩遮阳伞,只要擺放在沙灘。就能擋住灼熱刺眼的陽光。
墨海马喷泉,放在有水的地方。似乎就能提升四周的滋潤度。
钓竿,釣寶可夢時的必需品。擺放在水邊後，慢慢地等候看看吧。
箭头指示牌,雖然上面寫著推薦的菜單。但寶可夢們應該看不懂。
菜单立牌,雖然上面寫著推薦的菜單。但寶可夢們應該看不懂。
牌子,以木頭製成的牌子。上面或許寫著重要的公告。
立牌,看起來像是會出現在公車站的看板。似乎也能成為城鎮或道路的標誌。
告示牌,寫著城鎮資訊的告示牌。上面不知道是哪個城鎮的資訊。
雷丘招牌,通電後，霓虹燈就會閃閃發光。燈管呈現了雷丘正在放電的圖案。
露脸立牌,把臉放在立牌的洞口。變成正電拍拍和負電拍拍吧。
破旧的木箱,雖然有些破爛，但很堅固的箱子。大量堆疊起來，就會營造出像是倉庫的氛圍。
木箱,不知道該怎麼打開的箱子。如果只是在上面放東西，似乎是沒問題。
木桶,裡面什麼都沒裝的空桶子。在上面擺東西感覺也很不錯。
垃圾袋,隨處可見的普通垃圾袋。對一些寶可夢來說具有難以抵抗的香味。
垃圾桶,是個相當大的垃圾桶。感覺連寶可夢都能整隻躲進去。
空罐回收箱,用來丢空罐的垃圾桶。大小給寶可夢鑽進去也剛剛好。
脏脏的布,破破爛爛，已經無法加工的布。切開之後就能獲得線團。
不可燃垃圾,以特別的方法獲得的東西。可以直接擺放。
可连结式三角锥,排一排，就會連結起來。適合擺放在正在施工的地方。
井盖,可以像門一樣整個打開來的人孔蓋。放在洞穴上也可以變成入口。
消防栓,這是用來滅火的給水裝置。但不太清楚怎麼使用。
沙包,裡面裝著土和沙子的布袋。沉甸甸的，看起來很重。
掘山道具,雖然是看起來很堅固的鎬子和鏟子。但對會挖土的寶可夢來說則是破銅爛鐵。
轮胎,高高堆疊起來的輪胎。看起來隨時會垮下，沒想到卻不會垮下來。
金属桶,毫無髒污，十分光滑的鐵圓桶。裡面什麼都沒有，所以相當輕。
工具套组,把施工用的工具放在金屬桶中保管吧。適合擺放在倉庫或工地。
铁管堆,像是會在工地見到。堆成一小堆的鐵管。
手推车,装著土堆的手推車。在工地應該很常見。
大排风扇,平放型的巨大排風扇。像是會在大樓或房屋的屋頂見到。
炽热岩石,會散發熱氣的神奇岩石。擺放後，周圍的溫度就會上升。
潮湿岩石,觸感潮濕的神奇岩石。擺放後，會讓大片範圍變濕潤。
沙沙岩石,觸感乾爽的神奇岩石。擺放後，會讓大片範圍變乾燥。
冰冷岩石,會散發冷氣的神奇岩石。擺放後，周圍的溫度就會下降。
