中文名,英文名,类别,说明,最大用量,desc1,desc2,文件名,文件存在
绿色草,Green grass,地形,,4,4块紧挨的绿色草组成的草丛。,正适合小型宝可梦藏身。,grass.png,✓
大树（任意）,Tree,地形,,1,树荫下的草丛，白天也很凉爽。,宝可梦说不定会过来休息片刻。,tree.png,✓
大石头,Boulder,地形,,1,巨大岩石阴影里的草丛。,非常适合捉迷藏。,boulder.png,✓
水,Water,地形,,3,生长在水边的小草丛。,总是水灵灵的，生机勃勃。,water.png,✓
海水,Sea,地形,,2,在含有盐分的水边也能预强生长的草丛。,能缓解海边的炎热。,sea.png,✓
高处,Hill,地形,,1,生长在高处，环境十分凉爽。,一阵阵风直吹进草丛深处。,hill.png,✓
草（任意）,Grass,地形,,4,微光照射下的草丛。,柔和的光线会引来宝可梦。,grass.png,✓
照明（任意）,Lighting,设施,,1,微光照射下的草丛。,柔和的光线会引来宝可梦。,lighting.png,
草地的花,Flower,地形,,8,缘草地的花组成的美丽花田。,弥漫着一股淡淡的甜香。,flower.png,✓
墓碑,Tombstone,户外,靈魂安息的地方。幽靈屬性的實可夢應該會很開心。,1,柔和而华美的氛围，睡在墓中的宝可梦也会开心吧。,幽静的墓前摆着蜡烛和盘子有一点点惊悚的氛围。,tombstone.png,
花篱（任意）,Hedge,地形,,6,为繁花盛开的花日加上花篱，一下就成了一个小庭园。,花篱旁的长椅。,hedge.png,✓
菜田（任意）,Vegetable field,户外,,8,广阔的田里种植着蔬菜。,喜欢农活的宝可梦可能会前来。,vegetable-field.png,
火堆,Campfire,户外,收集樹枝搭建的火堆。只要點燃火焰，就會溫暖地照亮四周。,3,3个火维加热后的空气悠然飘向高空。,融入自然的露营组合。,campfire.png,✓
干草桌子,Straw table,家具,雖然美其名是桌子，其實只是把大石板放在乾草上而已。,1,融入自然的露营组合。,宝可梦们也会在火堆前取暖。,straw-table.png,✓
干草凳子,Straw stool,家具,大小正好適合小隻的寶可夢坐下。,1,融入自然的露营组合。,宝可梦们也会在火堆前取暖。,straw-stool.png,✓
椅子（任意）,Chair,家具,,2,瀑布的冲打会让身心振奋。,喜欧锻炼的宝可梦可能会来。,chair.png,
瀑布,Waterfall,地形,,1,瀑布的冲打会让身心振奋。,喜欧锻炼的宝可梦可能会来。,waterfall.png,
桌子（任意）,Table,家具,,2,椅子和桌子，再摆上一个盘子。,肚子饿的宝可梦说不定会过来。,table.png,
装盘的食物,Plated food,食物,,1,椅子和桌子，再摆上一个盘子。,肚子饿的宝可梦说不定会过来。,plated-food.png,
野餐篮,Picnic basket,素材,把食物放進裡面吧。肚子餓的寶可夢可能會來吃。,1,在桌上放个野餐篮，感觉就像在野餐样。,,picnic-basket.png,✓
单枝花瓶,Single flower vase,素材,插著可愛花朵的花瓶。擺放在各種地方，為生活增添色彩吧。,1,桌上摆着花瓶。,宝可梦或许也会坐在椅子上赏花。,single-flower-vase.png,
椅子（长）,Long bench,家具,,2,花篱旁的长椅。,宝可梦也能感受着自然稍作歇息。,long-bench.png,
路灯（任意）,Street lamp,设施,,1,柔和灯光下的椅子。,宝可梦说不定会被光亮吸引过来。,street-lamp.png,
沙袋,Sandbag,户外,裡面塞著滿滿的沙子，非常沉重。正適合用來練習拳擊或踢腿。,1,在激烈的训练后，宝可梦们也会坐在椅子上休息。,宝可梦们也会随着节拍兴致勃勃地锻。,sandbag.png,
急救箱,First aid kit,素材,裝了許多處理傷口用的。藥物和器具的箱子。,1,受伤时要立即进行应急处理。,擅长疗愈的宝可梦说不定会来帮忙。,first-aid-kit.png,✓
沙装,Sand pile,地形,,1,如果运动时受伤了，宝可梦们也会用急救箱进行应急处理。,,sand-pile.png,
箭头指示牌,Arrow sign,户外,雖然上面寫著推薦的菜單。但寶可夢們應該看不懂。,1,孤零零地立在路中央的牌子。,宝可梦或许会朝着箭头方向前进。,arrow-sign.png,✓
木板路,Wooden path,地形,,3,孤零零地立在路中央的牌子。,宝可梦或许会朝着箭头方向前进。,wooden-path.png,✓
平板货车,Flatbed cart,户外,車斗很寛，即使是大一點的東西。感覺也放得上去。,1,宽宽的大容量货车，可以装下2个大木箱。,把用货车运来的圆木放在木桩上，劈成柴火。,flatbed-cart.png,
木箱,Wooden crate,户外,不知道該怎麼打開的箱子。如果只是在上面放東西，似乎是沒問題。,2,宽宽的大容量货车，可以装下2个大木箱。,高高的岩石周围长满了产藓。,wooden-crate.png,✓
圆木椅子,Log chair,家具,可以坐在圓木上休息一下。說不定寶可夢們也會來休息。,1,把用货车运来的圆木放在木桩上，劈成柴火。,累了的话，就坐在椅子上休息一下吧。,log-chair.png,✓
